Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
10152,CenturyLink,"Indianapolis, IN",2020-07-11T05:45:02.305205Z,78.03598524133477,30.158,91384526.31364363,2463552.6406732104,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T06:00:02.413085Z,78.03598524133477,29.892,87999390.3472484,2493853.4031258654,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T06:15:02.162937Z,78.03598524133477,29.613,86657440.40576026,2472686.2063144124,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T06:30:02.538705Z,78.03598524133477,29.654,86024563.88674437,2472225.7143661873,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T06:45:02.720405Z,78.03598524133477,30.359,85625977.00864178,2472955.745381536,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T07:00:02.449632Z,78.03598524133477,30.102,89656113.68565838,2458678.115851712,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T07:15:02.458092Z,78.03598524133477,29.497,82461623.60822423,2473803.3551565404,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T07:30:02.343440Z,78.03598524133477,30.357,86804533.83730204,2479647.9070527395,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T07:45:02.301521Z,78.03598524133477,30.028,80053963.65254217,2466347.60038686,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T08:00:02.725779Z,78.03598524133477,30.159,76185368.14051022,2458416.8275256837,
11546,NineStar Connect,"Greenfield, IN",2020-07-11T08:15:02.817530Z,54.354945077295085,33.324,77602075.99144454,2467949.8220327147,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T08:30:02.066097Z,78.03598524133477,29.44,62924187.10726061,2461772.427122393,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T08:45:02.208411Z,78.03598524133477,30.108,73009018.23424709,2468748.1622398375,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T09:00:02.346308Z,78.03598524133477,29.976,78215873.84646156,2469427.627283957,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T09:15:02.198609Z,78.03598524133477,30.326,62849581.914360754,2459524.1676597255,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T09:30:02.344618Z,78.03598524133477,29.681,49128708.741988584,2473618.9792983355,
